place,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20
Toscana,1041.0 +/- 0.0,1042.7 +/- 1.8,1044.4 +/- 3.0,1046.0 +/- 4.1,1047.5 +/- 5.1,1048.9 +/- 5.9,1050.3 +/- 6.7,1051.6 +/- 7.5,1052.9 +/- 8.1,1054.1 +/- 8.7,1055.4 +/- 9.3,1056.5 +/- 9.7,1057.7 +/- 10.2,1058.8 +/- 10.5,1059.9 +/- 10.9,1061.0 +/- 11.2,1062.1 +/- 11.5,1063.2 +/- 11.7,1064.2 +/- 11.9,1065.3 +/- 12.1,1066.3 +/- 12.3,1067.3 +/- 12.4,1068.4 +/- 12.6,1069.4 +/- 12.7,1070.4 +/- 12.8,1071.4 +/- 12.9,1072.4 +/- 13.0,1073.4 +/- 13.1,1074.5 +/- 13.1,1075.5 +/- 13.2
Liguria,1465.0 +/- 0.0,1469.8 +/- 2.9,1474.4 +/- 4.9,1478.7 +/- 6.7,1482.9 +/- 8.5,1486.9 +/- 10.2,1490.7 +/- 11.8,1494.4 +/- 13.4,1497.9 +/- 15.0,1501.2 +/- 16.5,1504.4 +/- 17.9,1507.4 +/- 19.3,1510.3 +/- 20.6,1513.1 +/- 21.9,1515.8 +/- 23.1,1518.3 +/- 24.3,1520.8 +/- 25.5,1523.1 +/- 26.5,1525.4 +/- 27.6,1527.6 +/- 28.5,1529.6 +/- 29.5,1531.7 +/- 30.4,1533.6 +/- 31.2,1535.5 +/- 32.0,1537.3 +/- 32.8,1539.0 +/- 33.5,1540.7 +/- 34.2,1542.3 +/- 34.9,1543.9 +/- 35.5,1545.5 +/- 36.1
Lazio,735.0 +/- 0.0,741.9 +/- 4.5,748.8 +/- 8.2,755.6 +/- 12.0,762.3 +/- 15.9,769.0 +/- 19.8,775.6 +/- 23.9,782.1 +/- 28.0,788.5 +/- 32.2,794.8 +/- 36.4,801.1 +/- 40.7,807.3 +/- 45.1,813.4 +/- 49.6,819.5 +/- 54.1,825.5 +/- 58.7,831.4 +/- 63.4,837.2 +/- 68.1,843.0 +/- 72.9,848.7 +/- 77.8,854.3 +/- 82.7,859.8 +/- 87.6,865.3 +/- 92.6,870.7 +/- 97.7,876.0 +/- 102.8,881.3 +/- 108.0,886.5 +/- 113.2,891.6 +/- 118.4,896.7 +/- 123.7,901.6 +/- 129.0,906.5 +/- 134.3
Marche,987.0 +/- 0.0,988.1 +/- 1.1,989.3 +/- 1.6,990.4 +/- 2.0,991.5 +/- 2.3,992.6 +/- 2.6,993.6 +/- 2.9,994.7 +/- 3.1,995.7 +/- 3.3,996.8 +/- 3.5,997.8 +/- 3.7,998.8 +/- 3.9,999.9 +/- 4.0,1000.9 +/- 4.2,1001.9 +/- 4.3,1002.9 +/- 4.5,1003.9 +/- 4.6,1005.0 +/- 4.7,1006.0 +/- 4.8,1007.0 +/- 5.0,1008.0 +/- 5.1,1009.0 +/- 5.2,1010.0 +/- 5.3,1011.0 +/- 5.4,1012.0 +/- 5.5,1013.0 +/- 5.6,1014.0 +/- 5.7,1015.0 +/- 5.7,1016.0 +/- 5.8,1017.0 +/- 5.9
Campania,412.0 +/- 0.0,413.3 +/- 1.4,414.5 +/- 2.4,415.7 +/- 3.2,416.9 +/- 3.9,418.1 +/- 4.6,419.2 +/- 5.3,420.3 +/- 5.9,421.5 +/- 6.4,422.6 +/- 6.9,423.7 +/- 7.4,424.8 +/- 7.8,425.8 +/- 8.2,426.9 +/- 8.5,428.0 +/- 8.9,429.0 +/- 9.2,430.0 +/- 9.4,431.1 +/- 9.7,432.1 +/- 9.9,433.2 +/- 10.1,434.2 +/- 10.3,435.2 +/- 10.5,436.2 +/- 10.7,437.2 +/- 10.8,438.3 +/- 10.9,439.3 +/- 11.1,440.3 +/- 11.2,441.3 +/- 11.3,442.3 +/- 11.4,443.3 +/- 11.5
Puglia,504.0 +/- 0.0,505.3 +/- 1.5,506.6 +/- 2.6,507.9 +/- 3.5,509.1 +/- 4.3,510.3 +/- 5.1,511.5 +/- 5.8,512.7 +/- 6.4,513.8 +/- 7.0,514.9 +/- 7.5,516.1 +/- 8.0,517.1 +/- 8.4,518.2 +/- 8.8,519.3 +/- 9.2,520.4 +/- 9.5,521.4 +/- 9.8,522.5 +/- 10.0,523.5 +/- 10.3,524.5 +/- 10.5,525.6 +/- 10.7,526.6 +/- 10.9,527.6 +/- 11.0,528.6 +/- 11.2,529.7 +/- 11.3,530.7 +/- 11.4,531.7 +/- 11.5,532.7 +/- 11.6,533.7 +/- 11.7,534.7 +/- 11.8,535.7 +/- 11.9
Trento,462.0 +/- 0.0,463.1 +/- 1.1,464.2 +/- 1.6,465.3 +/- 2.0,466.3 +/- 2.4,467.4 +/- 2.7,468.4 +/- 3.0,469.4 +/- 3.3,470.5 +/- 3.5,471.5 +/- 3.7,472.5 +/- 3.9,473.6 +/- 4.1,474.6 +/- 4.3,475.6 +/- 4.4,476.6 +/- 4.6,477.6 +/- 4.7,478.6 +/- 4.9,479.6 +/- 5.0,480.6 +/- 5.1,481.6 +/- 5.2,482.6 +/- 5.3,483.6 +/- 5.4,484.6 +/- 5.5,485.6 +/- 5.6,486.6 +/- 5.7,487.6 +/- 5.8,488.7 +/- 5.9,489.7 +/- 6.0,490.7 +/- 6.1,491.7 +/- 6.2
Sicilia,274.0 +/- 0.0,275.1 +/- 1.1,276.1 +/- 1.6,277.1 +/- 2.0,278.2 +/- 2.4,279.2 +/- 2.7,280.2 +/- 3.0,281.2 +/- 3.2,282.2 +/- 3.4,283.3 +/- 3.7,284.3 +/- 3.8,285.3 +/- 4.0,286.3 +/- 4.2,287.3 +/- 4.3,288.3 +/- 4.5,289.3 +/- 4.6,290.3 +/- 4.8,291.3 +/- 4.9,292.3 +/- 5.0,293.3 +/- 5.1,294.3 +/- 5.2,295.3 +/- 5.3,296.3 +/- 5.4,297.3 +/- 5.5,298.3 +/- 5.6,299.3 +/- 5.7,300.3 +/- 5.8,301.3 +/- 5.9,302.3 +/- 6.0,303.3 +/- 6.1
FriuliVeneziaGiulia,333.0 +/- 0.0,334.0 +/- 1.0,335.0 +/- 1.4,336.0 +/- 1.7,337.0 +/- 2.0,338.0 +/- 2.2,339.0 +/- 2.4,340.0 +/- 2.6,341.0 +/- 2.8,342.0 +/- 3.0,343.0 +/- 3.2,344.0 +/- 3.3,345.0 +/- 3.5,346.0 +/- 3.6,347.0 +/- 3.7,348.0 +/- 3.9,349.0 +/- 4.0,350.0 +/- 4.1,351.0 +/- 4.2,352.0 +/- 4.4,353.0 +/- 4.5,354.0 +/- 4.6,355.0 +/- 4.7,356.0 +/- 4.8,357.0 +/- 4.9,358.0 +/- 5.0,359.0 +/- 5.1,360.0 +/- 5.2,361.0 +/- 5.3,362.0 +/- 5.4
Abruzzo,405.0 +/- 0.0,406.6 +/- 2.0,408.2 +/- 3.5,409.7 +/- 4.9,411.2 +/- 6.2,412.7 +/- 7.5,414.1 +/- 8.7,415.5 +/- 9.9,416.8 +/- 11.0,418.2 +/- 12.0,419.5 +/- 13.0,420.7 +/- 13.9,422.0 +/- 14.8,423.2 +/- 15.6,424.4 +/- 16.4,425.6 +/- 17.1,426.8 +/- 17.8,428.0 +/- 18.5,429.1 +/- 19.1,430.2 +/- 19.6,431.4 +/- 20.1,432.5 +/- 20.6,433.6 +/- 21.1,434.7 +/- 21.5,435.8 +/- 21.9,436.8 +/- 22.3,437.9 +/- 22.6,439.0 +/- 22.9,440.0 +/- 23.2,441.1 +/- 23.5
Bolzano,291.0 +/- 0.0,292.0 +/- 1.0,293.0 +/- 1.4,294.0 +/- 1.7,295.0 +/- 2.0,296.0 +/- 2.2,297.0 +/- 2.5,298.0 +/- 2.6,299.0 +/- 2.8,300.0 +/- 3.0,301.0 +/- 3.2,302.0 +/- 3.3,303.0 +/- 3.5,304.0 +/- 3.6,305.0 +/- 3.7,306.0 +/- 3.9,307.0 +/- 4.0,308.0 +/- 4.1,309.0 +/- 4.2,310.0 +/- 4.4,311.0 +/- 4.5,312.0 +/- 4.6,313.0 +/- 4.7,314.0 +/- 4.8,315.0 +/- 4.9,316.0 +/- 5.0,317.0 +/- 5.1,318.0 +/- 5.2,319.0 +/- 5.3,320.0 +/- 5.4
Umbria,76.0 +/- 0.0,77.2 +/- 1.3,78.4 +/- 2.0,79.6 +/- 2.6,80.7 +/- 3.2,81.9 +/- 3.7,83.0 +/- 4.3,84.2 +/- 4.8,85.3 +/- 5.2,86.4 +/- 5.7,87.6 +/- 6.1,88.7 +/- 6.6,89.8 +/- 7.0,90.9 +/- 7.4,92.0 +/- 7.7,93.1 +/- 8.1,94.2 +/- 8.4,95.3 +/- 8.8,96.4 +/- 9.1,97.5 +/- 9.4,98.5 +/- 9.7,99.6 +/- 10.0,100.7 +/- 10.2,101.7 +/- 10.5,102.8 +/- 10.7,103.9 +/- 11.0,104.9 +/- 11.2,106.0 +/- 11.4,107.0 +/- 11.6,108.1 +/- 11.9
Sardegna,130.0 +/- 0.0,133.7 +/- 24.8,137.5 +/- 49.4,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Valled'Aosta,143.0 +/- 0.0,144.0 +/- 1.0,145.0 +/- 1.4,146.0 +/- 1.7,147.0 +/- 2.0,148.0 +/- 2.2,149.0 +/- 2.5,150.0 +/- 2.6,151.0 +/- 2.8,152.0 +/- 3.0,153.0 +/- 3.2,154.0 +/- 3.3,155.0 +/- 3.5,156.0 +/- 3.6,157.0 +/- 3.7,158.0 +/- 3.9,159.0 +/- 4.0,160.0 +/- 4.1,161.0 +/- 4.2,162.0 +/- 4.4,163.0 +/- 4.5,164.0 +/- 4.6,165.0 +/- 4.7,166.0 +/- 4.8,167.0 +/- 4.9,168.0 +/- 5.0,169.0 +/- 5.1,170.0 +/- 5.2,171.0 +/- 5.3,172.0 +/- 5.4
Calabria,97.0 +/- 0.0,98.2 +/- 3.1,99.4 +/- 5.9,100.5 +/- 8.6,101.7 +/- 11.1,102.8 +/- 13.5,103.9 +/- 15.7,105.0 +/- 17.8,106.1 +/- 19.8,107.2 +/- 21.6,108.3 +/- 23.4,109.4 +/- 25.0,110.4 +/- 26.5,111.5 +/- 27.9,112.5 +/- 29.2,113.6 +/- 30.4,114.6 +/- 31.5,115.7 +/- 32.6,116.7 +/- 33.5,117.8 +/- 34.4,118.8 +/- 35.2,119.8 +/- 36.0,120.8 +/- 36.6,121.8 +/- 37.3,122.9 +/- 37.8,123.9 +/- 38.4,124.9 +/- 38.8,125.9 +/- 39.3,126.9 +/- 39.7,127.9 +/- 40.0
Molise,22.0 +/- 0.0,23.1 +/- 6.2,24.1 +/- 12.2,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Basilicata,27.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
