place,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20
Italia,33415.0 +/- 0.0,33464.6 +/- 8.6,33510.5 +/- 13.7,33552.9 +/- 18.4,33592.0 +/- 22.7,33628.1 +/- 26.8,33661.3 +/- 30.7,33691.8 +/- 34.4,33719.9 +/- 37.8,33745.7 +/- 41.1,33769.3 +/- 44.1,33791.0 +/- 47.0,33810.9 +/- 49.7,33829.1 +/- 52.2,33845.8 +/- 54.6,33861.0 +/- 56.8,33874.9 +/- 58.9,33887.7 +/- 60.9,33899.3 +/- 62.7,33909.9 +/- 64.3,33919.6 +/- 65.9,33928.4 +/- 67.3,33936.5 +/- 68.6,33943.8 +/- 69.9,33950.5 +/- 71.0,33956.7 +/- 72.1,33962.3 +/- 73.0,33967.4 +/- 73.9,33972.1 +/- 74.7,33976.4 +/- 75.5
Nord,24448.0 +/- 0.0,24484.1 +/- 7.4,24517.5 +/- 11.8,24548.4 +/- 15.8,24576.9 +/- 19.6,24603.3 +/- 23.2,24627.6 +/- 26.5,24650.0 +/- 29.7,24670.6 +/- 32.7,24689.6 +/- 35.6,24707.1 +/- 38.2,24723.1 +/- 40.8,24737.9 +/- 43.1,24751.4 +/- 45.3,24763.8 +/- 47.4,24775.2 +/- 49.4,24785.6 +/- 51.2,24795.2 +/- 52.9,24804.0 +/- 54.5,24812.0 +/- 56.0,24819.4 +/- 57.3,24826.1 +/- 58.6,24832.3 +/- 59.8,24838.0 +/- 60.9,24843.2 +/- 61.9,24848.0 +/- 62.8,24852.4 +/- 63.7,24856.5 +/- 64.4,24860.2 +/- 65.2,24863.7 +/- 65.8
FuoriLombardia,17303.0 +/- 0.0,17339.0 +/- 6.8,17372.5 +/- 10.5,17403.8 +/- 13.7,17432.9 +/- 16.7,17460.0 +/- 19.6,17485.2 +/- 22.3,17508.6 +/- 24.9,17530.3 +/- 27.3,17550.4 +/- 29.7,17569.1 +/- 31.9,17586.4 +/- 34.0,17602.4 +/- 36.0,17617.2 +/- 37.9,17630.8 +/- 39.7,17643.5 +/- 41.4,17655.2 +/- 43.0,17665.9 +/- 44.5,17675.9 +/- 45.9,17685.1 +/- 47.3,17693.5 +/- 48.5,17701.3 +/- 49.7,17708.5 +/- 50.8,17715.2 +/- 51.9,17721.3 +/- 52.8,17726.9 +/- 53.7,17732.2 +/- 54.6,17737.0 +/- 55.4,17741.5 +/- 56.1,17745.6 +/- 56.8
FuoriLombardiaEmiliaVeneto,15385.0 +/- 0.0,15413.9 +/- 6.1,15440.7 +/- 9.3,15465.6 +/- 12.1,15488.8 +/- 14.7,15510.2 +/- 17.1,15530.1 +/- 19.4,15548.5 +/- 21.6,15565.6 +/- 23.6,15581.3 +/- 25.6,15595.9 +/- 27.4,15609.3 +/- 29.2,15621.8 +/- 30.8,15633.2 +/- 32.4,15643.8 +/- 33.9,15653.5 +/- 35.3,15662.5 +/- 36.6,15670.7 +/- 37.8,15678.4 +/- 38.9,15685.4 +/- 40.0,15691.8 +/- 41.0,15697.8 +/- 41.9,15703.3 +/- 42.8,15708.4 +/- 43.6,15713.1 +/- 44.4,15717.4 +/- 45.0,15721.4 +/- 45.7,15725.1 +/- 46.3,15728.5 +/- 46.8,15731.7 +/- 47.4
Lombardia,16112.0 +/- 0.0,16123.8 +/- 4.2,16134.6 +/- 6.7,16144.4 +/- 8.9,16153.3 +/- 11.0,16161.5 +/- 12.9,16169.0 +/- 14.6,16175.8 +/- 16.2,16182.0 +/- 17.7,16187.6 +/- 19.0,16192.8 +/- 20.3,16197.5 +/- 21.4,16201.9 +/- 22.5,16205.8 +/- 23.5,16209.5 +/- 24.4,16212.8 +/- 25.2,16215.9 +/- 25.9,16218.7 +/- 26.6,16221.4 +/- 27.2,16223.8 +/- 27.7,16226.1 +/- 28.3,16228.2 +/- 28.7,16230.2 +/- 29.1,16232.1 +/- 29.5,16233.8 +/- 29.8,16235.5 +/- 30.1,16237.1 +/- 30.4,16238.6 +/- 30.7,16240.0 +/- 30.9,16241.4 +/- 31.1
Piemonte,3867.0 +/- 0.0,3873.8 +/- 3.5,3880.0 +/- 5.9,3885.8 +/- 8.1,3891.1 +/- 10.1,3895.9 +/- 12.0,3900.4 +/- 13.8,3904.6 +/- 15.5,3908.4 +/- 17.1,3911.9 +/- 18.6,3915.2 +/- 20.0,3918.2 +/- 21.2,3921.0 +/- 22.4,3923.7 +/- 23.5,3926.1 +/- 24.5,3928.4 +/- 25.4,3930.5 +/- 26.3,3932.5 +/- 27.1,3934.4 +/- 27.8,3936.1 +/- 28.4,3937.8 +/- 29.0,3939.4 +/- 29.6,3940.9 +/- 30.1,3942.4 +/- 30.5,3943.8 +/- 30.9,3945.2 +/- 31.3,3946.5 +/- 31.6,3947.7 +/- 31.9,3949.0 +/- 32.1,3950.2 +/- 32.4
Centro,3244.0 +/- 0.0,3252.5 +/- 3.6,3260.5 +/- 5.7,3268.0 +/- 7.7,3275.2 +/- 9.6,3281.9 +/- 11.4,3288.3 +/- 13.1,3294.3 +/- 14.8,3300.0 +/- 16.4,3305.4 +/- 17.9,3310.4 +/- 19.4,3315.2 +/- 20.8,3319.7 +/- 22.1,3324.0 +/- 23.4,3328.0 +/- 24.6,3331.9 +/- 25.8,3335.5 +/- 26.9,3338.9 +/- 28.0,3342.1 +/- 29.0,3345.2 +/- 29.9,3348.1 +/- 30.8,3350.8 +/- 31.6,3353.4 +/- 32.4,3355.9 +/- 33.2,3358.3 +/- 33.9,3360.5 +/- 34.6,3362.7 +/- 35.2,3364.7 +/- 35.8,3366.7 +/- 36.4,3368.6 +/- 36.9
EmiliaRomagna,4114.0 +/- 0.0,4119.4 +/- 2.7,4124.4 +/- 4.2,4129.1 +/- 5.4,4133.5 +/- 6.6,4137.5 +/- 7.7,4141.3 +/- 8.8,4144.9 +/- 9.7,4148.2 +/- 10.6,4151.3 +/- 11.5,4154.2 +/- 12.2,4156.9 +/- 13.0,4159.5 +/- 13.7,4161.9 +/- 14.3,4164.2 +/- 14.9,4166.4 +/- 15.4,4168.4 +/- 15.9,4170.3 +/- 16.4,4172.2 +/- 16.8,4173.9 +/- 17.2,4175.6 +/- 17.6,4177.2 +/- 17.9,4178.7 +/- 18.3,4180.2 +/- 18.5,4181.6 +/- 18.8,4183.0 +/- 19.1,4184.3 +/- 19.3,4185.6 +/- 19.5,4186.9 +/- 19.7,4188.1 +/- 19.8
Veneto,1918.0 +/- 0.0,1925.2 +/- 3.7,1932.1 +/- 6.2,1938.6 +/- 8.6,1944.9 +/- 11.0,1950.8 +/- 13.3,1956.5 +/- 15.6,1961.8 +/- 17.7,1967.0 +/- 19.9,1971.8 +/- 21.9,1976.5 +/- 24.0,1980.9 +/- 25.9,1985.1 +/- 27.8,1989.0 +/- 29.6,1992.8 +/- 31.4,1996.5 +/- 33.1,1999.9 +/- 34.7,2003.2 +/- 36.3,2006.3 +/- 37.8,2009.3 +/- 39.3,2012.1 +/- 40.7,2014.8 +/- 42.0,2017.4 +/- 43.3,2019.9 +/- 44.5,2022.2 +/- 45.6,2024.5 +/- 46.7,2026.6 +/- 47.8,2028.7 +/- 48.8,2030.7 +/- 49.7,2032.6 +/- 50.6
Sud,1466.0 +/- 0.0,1467.7 +/- 1.5,1469.3 +/- 2.2,1470.9 +/- 2.8,1472.3 +/- 3.4,1473.7 +/- 3.9,1475.1 +/- 4.4,1476.4 +/- 4.8,1477.7 +/- 5.2,1479.0 +/- 5.5,1480.2 +/- 5.8,1481.4 +/- 6.1,1482.5 +/- 6.3,1483.7 +/- 6.6,1484.8 +/- 6.8,1485.9 +/- 7.0,1487.0 +/- 7.2,1488.1 +/- 7.3,1489.1 +/- 7.5,1490.2 +/- 7.6,1491.2 +/- 7.7,1492.3 +/- 7.9,1493.3 +/- 8.0,1494.3 +/- 8.1,1495.4 +/- 8.2,1496.4 +/- 8.3,1497.4 +/- 8.4,1498.4 +/- 8.4,1499.4 +/- 8.5,1500.4 +/- 8.6
