place,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20
Toscana,9948.0 +/- 0.0,9959.9 +/- 4.1,9970.6 +/- 6.4,9980.3 +/- 8.4,9989.1 +/- 10.3,9997.0 +/- 12.0,10004.2 +/- 13.5,10010.6 +/- 15.0,10016.5 +/- 16.3,10021.7 +/- 17.5,10026.5 +/- 18.6,10030.8 +/- 19.6,10034.7 +/- 20.5,10038.3 +/- 21.3,10041.5 +/- 22.1,10044.5 +/- 22.8,10047.2 +/- 23.4,10049.7 +/- 23.9,10052.0 +/- 24.4,10054.1 +/- 24.9,10056.1 +/- 25.3,10057.9 +/- 25.7,10059.6 +/- 26.0,10061.2 +/- 26.3,10062.8 +/- 26.5,10064.2 +/- 26.7,10065.6 +/- 26.9,10066.9 +/- 27.1,10068.2 +/- 27.3,10069.5 +/- 27.4,10070.7 +/- 27.5,10071.8 +/- 27.7,10073.0 +/- 27.8,10074.1 +/- 27.8,10075.2 +/- 27.9,10076.3 +/- 28.0,10077.4 +/- 28.0,10078.4 +/- 28.1,10079.5 +/- 28.2,10080.5 +/- 28.2,10081.6 +/- 28.2,10082.6 +/- 28.3,10083.6 +/- 28.3,10084.6 +/- 28.3
Liguria,9159.0 +/- 0.0,9201.0 +/- 8.5,9240.6 +/- 14.3,9277.9 +/- 19.7,9313.0 +/- 25.1,9346.1 +/- 30.3,9377.1 +/- 35.5,9406.3 +/- 40.5,9433.6 +/- 45.5,9459.2 +/- 50.3,9483.2 +/- 55.0,9505.6 +/- 59.5,9526.5 +/- 64.0,9546.0 +/- 68.3,9564.2 +/- 72.4,9581.1 +/- 76.5,9596.8 +/- 80.3,9611.4 +/- 84.1,9625.0 +/- 87.6,9637.6 +/- 91.1,9649.2 +/- 94.4,9660.0 +/- 97.5,9669.9 +/- 100.5,9679.1 +/- 103.4,9687.6 +/- 106.1,9695.4 +/- 108.7,9702.5 +/- 111.2,9709.1 +/- 113.5,9715.2 +/- 115.7,9720.8 +/- 117.8,9725.8 +/- 119.8,9730.5 +/- 121.6,9734.8 +/- 123.3,9738.7 +/- 125.0,9742.2 +/- 126.5,9745.4 +/- 127.9,9748.4 +/- 129.3,9751.1 +/- 130.5,9753.5 +/- 131.7,9755.7 +/- 132.8,9757.7 +/- 133.8,9759.5 +/- 134.7,9761.2 +/- 135.6,9762.7 +/- 136.4
Lazio,7446.0 +/- 0.0,7465.3 +/- 5.4,7483.2 +/- 8.7,7499.6 +/- 11.7,7514.8 +/- 14.6,7528.7 +/- 17.2,7541.6 +/- 19.7,7553.4 +/- 22.1,7564.2 +/- 24.4,7574.2 +/- 26.5,7583.3 +/- 28.5,7591.7 +/- 30.4,7599.3 +/- 32.1,7606.4 +/- 33.8,7612.8 +/- 35.3,7618.7 +/- 36.8,7624.2 +/- 38.1,7629.1 +/- 39.3,7633.7 +/- 40.5,7637.9 +/- 41.5,7641.7 +/- 42.5,7645.3 +/- 43.4,7648.6 +/- 44.2,7651.6 +/- 45.0,7654.4 +/- 45.7,7657.0 +/- 46.3,7659.4 +/- 46.9,7661.7 +/- 47.4,7663.8 +/- 47.9,7665.7 +/- 48.4,7667.6 +/- 48.8,7669.4 +/- 49.1,7671.0 +/- 49.4,7672.6 +/- 49.7,7674.1 +/- 50.0,7675.6 +/- 50.2,7677.0 +/- 50.4,7678.3 +/- 50.6,7679.6 +/- 50.8,7680.9 +/- 51.0,7682.1 +/- 51.1,7683.3 +/- 51.2,7684.4 +/- 51.3,7685.6 +/- 51.4
Marche,6667.0 +/- 0.0,6674.3 +/- 3.3,6680.9 +/- 5.2,6686.9 +/- 7.0,6692.4 +/- 8.5,6697.4 +/- 10.0,6702.0 +/- 11.3,6706.2 +/- 12.5,6710.0 +/- 13.6,6713.5 +/- 14.7,6716.7 +/- 15.6,6719.7 +/- 16.5,6722.4 +/- 17.2,6724.9 +/- 17.9,6727.2 +/- 18.6,6729.4 +/- 19.2,6731.4 +/- 19.7,6733.3 +/- 20.2,6735.1 +/- 20.6,6736.8 +/- 21.0,6738.4 +/- 21.3,6739.9 +/- 21.7,6741.3 +/- 21.9,6742.7 +/- 22.2,6744.1 +/- 22.4,6745.4 +/- 22.6,6746.6 +/- 22.8,6747.8 +/- 23.0,6749.0 +/- 23.1,6750.1 +/- 23.2,6751.3 +/- 23.3,6752.4 +/- 23.4,6753.5 +/- 23.5,6754.6 +/- 23.6,6755.6 +/- 23.7,6756.7 +/- 23.8,6757.7 +/- 23.8,6758.8 +/- 23.9,6759.8 +/- 23.9,6760.9 +/- 24.0,6761.9 +/- 24.0,6762.9 +/- 24.1,6763.9 +/- 24.1,6764.9 +/- 24.1
Campania,4684.0 +/- 0.0,4686.8 +/- 2.0,4689.4 +/- 3.0,4691.7 +/- 3.9,4693.8 +/- 4.7,4695.7 +/- 5.3,4697.5 +/- 5.9,4699.1 +/- 6.4,4700.6 +/- 6.8,4702.1 +/- 7.2,4703.4 +/- 7.5,4704.7 +/- 7.8,4706.0 +/- 8.1,4707.2 +/- 8.3,4708.3 +/- 8.5,4709.4 +/- 8.7,4710.5 +/- 8.8,4711.6 +/- 9.0,4712.7 +/- 9.1,4713.7 +/- 9.2,4714.8 +/- 9.3,4715.8 +/- 9.4,4716.8 +/- 9.4,4717.9 +/- 9.5,4718.9 +/- 9.6,4719.9 +/- 9.7,4720.9 +/- 9.7,4721.9 +/- 9.8,4722.9 +/- 9.8,4723.9 +/- 9.9,4724.9 +/- 9.9,4725.9 +/- 10.0,4726.9 +/- 10.1,4727.9 +/- 10.1,4728.9 +/- 10.2,4729.9 +/- 10.2,4730.9 +/- 10.3,4731.9 +/- 10.3,4732.9 +/- 10.4,4733.9 +/- 10.4,4734.9 +/- 10.5,4735.9 +/- 10.5,4736.9 +/- 10.5,4737.9 +/- 10.6
Puglia,4379.0 +/- 0.0,4385.9 +/- 3.5,4392.2 +/- 5.7,4397.9 +/- 7.7,4403.2 +/- 9.5,4408.0 +/- 11.2,4412.3 +/- 12.8,4416.3 +/- 14.3,4420.0 +/- 15.6,4423.3 +/- 16.8,4426.4 +/- 18.0,4429.2 +/- 19.0,4431.8 +/- 20.0,4434.2 +/- 20.8,4436.5 +/- 21.6,4438.6 +/- 22.3,4440.5 +/- 23.0,4442.3 +/- 23.5,4444.0 +/- 24.1,4445.7 +/- 24.5,4447.2 +/- 25.0,4448.7 +/- 25.3,4450.1 +/- 25.7,4451.4 +/- 26.0,4452.7 +/- 26.3,4454.0 +/- 26.5,4455.2 +/- 26.7,4456.4 +/- 26.9,4457.5 +/- 27.1,4458.6 +/- 27.2,4459.8 +/- 27.3,4460.9 +/- 27.5,4461.9 +/- 27.6,4463.0 +/- 27.7,4464.1 +/- 27.7,4465.1 +/- 27.8,4466.2 +/- 27.9,4467.2 +/- 27.9,4468.2 +/- 28.0,4469.2 +/- 28.0,4470.3 +/- 28.1,4471.3 +/- 28.1,4472.3 +/- 28.2,4473.3 +/- 28.2
Trento,4338.0 +/- 0.0,4340.7 +/- 2.3,4343.0 +/- 3.8,4345.0 +/- 5.0,4346.7 +/- 6.2,4348.1 +/- 7.2,4349.2 +/- 8.1,4350.2 +/- 8.8,4351.0 +/- 9.5,4351.7 +/- 10.1,4352.3 +/- 10.6,4352.8 +/- 11.0,4353.1 +/- 11.4,4353.4 +/- 11.7,4353.7 +/- 12.0,4353.9 +/- 12.2,4354.1 +/- 12.4,4354.2 +/- 12.6,4354.3 +/- 12.7,4354.4 +/- 12.8,4354.5 +/- 12.9,4354.5 +/- 13.0,4354.6 +/- 13.1,4354.6 +/- 13.1,4354.6 +/- 13.2,4354.7 +/- 13.2,4354.7 +/- 13.2,4354.7 +/- 13.3,4354.7 +/- 13.3,4354.7 +/- 13.3,4354.7 +/- 13.3,4354.7 +/- 13.3,4354.7 +/- 13.3,4354.7 +/- 13.3,4354.7 +/- 13.3,4354.7 +/- 13.3,4354.7 +/- 13.3,4354.7 +/- 13.3,4354.7 +/- 13.3,4354.7 +/- 13.3,4354.7 +/- 13.3,4354.7 +/- 13.3,4354.7 +/- 13.3,4354.7 +/- 13.3
Sicilia,3388.0 +/- 0.0,3393.2 +/- 2.8,3398.0 +/- 4.4,3402.3 +/- 5.8,3406.3 +/- 7.1,3410.0 +/- 8.2,3413.3 +/- 9.3,3416.4 +/- 10.3,3419.3 +/- 11.2,3421.9 +/- 12.0,3424.4 +/- 12.8,3426.6 +/- 13.5,3428.7 +/- 14.1,3430.7 +/- 14.7,3432.6 +/- 15.2,3434.3 +/- 15.7,3435.9 +/- 16.1,3437.5 +/- 16.5,3439.0 +/- 16.8,3440.4 +/- 17.1,3441.8 +/- 17.4,3443.1 +/- 17.7,3444.4 +/- 17.9,3445.6 +/- 18.1,3446.8 +/- 18.3,3448.0 +/- 18.4,3449.1 +/- 18.6,3450.2 +/- 18.7,3451.3 +/- 18.8,3452.4 +/- 18.9,3453.5 +/- 19.0,3454.5 +/- 19.1,3455.6 +/- 19.2,3456.6 +/- 19.2,3457.7 +/- 19.3,3458.7 +/- 19.3,3459.7 +/- 19.4,3460.8 +/- 19.4,3461.8 +/- 19.5,3462.8 +/- 19.5,3463.8 +/- 19.6,3464.8 +/- 19.6,3465.8 +/- 19.6,3466.8 +/- 19.7
FriuliVeneziaGiulia,3191.0 +/- 0.0,3194.0 +/- 2.2,3196.7 +/- 3.4,3199.2 +/- 4.6,3201.5 +/- 5.6,3203.7 +/- 6.5,3205.7 +/- 7.3,3207.5 +/- 8.0,3209.3 +/- 8.7,3210.9 +/- 9.3,3212.4 +/- 9.8,3213.9 +/- 10.3,3215.3 +/- 10.7,3216.7 +/- 11.1,3217.9 +/- 11.4,3219.2 +/- 11.7,3220.4 +/- 12.0,3221.6 +/- 12.2,3222.7 +/- 12.4,3223.8 +/- 12.6,3225.0 +/- 12.8,3226.0 +/- 12.9,3227.1 +/- 13.1,3228.2 +/- 13.2,3229.2 +/- 13.3,3230.3 +/- 13.4,3231.3 +/- 13.5,3232.3 +/- 13.5,3233.4 +/- 13.6,3234.4 +/- 13.7,3235.4 +/- 13.7,3236.4 +/- 13.8,3237.4 +/- 13.9,3238.4 +/- 13.9,3239.4 +/- 14.0,3240.4 +/- 14.0,3241.4 +/- 14.0,3242.4 +/- 14.1,3243.4 +/- 14.1,3244.4 +/- 14.2,3245.4 +/- 14.2,3246.4 +/- 14.2,3247.4 +/- 14.3,3248.5 +/- 14.3
Abruzzo,3186.0 +/- 0.0,3192.4 +/- 3.4,3198.4 +/- 5.7,3203.9 +/- 7.8,3209.0 +/- 9.8,3213.6 +/- 11.6,3218.0 +/- 13.4,3222.0 +/- 15.0,3225.7 +/- 16.6,3229.1 +/- 18.0,3232.3 +/- 19.3,3235.3 +/- 20.6,3238.0 +/- 21.7,3240.6 +/- 22.8,3243.0 +/- 23.8,3245.3 +/- 24.7,3247.4 +/- 25.5,3249.3 +/- 26.3,3251.2 +/- 27.0,3253.0 +/- 27.7,3254.7 +/- 28.3,3256.3 +/- 28.8,3257.8 +/- 29.3,3259.2 +/- 29.7,3260.7 +/- 30.1,3262.0 +/- 30.5,3263.3 +/- 30.8,3264.6 +/- 31.1,3265.8 +/- 31.4,3267.0 +/- 31.6,3268.2 +/- 31.8,3269.4 +/- 32.0,3270.5 +/- 32.2,3271.6 +/- 32.4,3272.7 +/- 32.5,3273.8 +/- 32.6,3274.9 +/- 32.7,3275.9 +/- 32.8,3277.0 +/- 32.9,3278.0 +/- 33.0,3279.1 +/- 33.1,3280.1 +/- 33.1,3281.1 +/- 33.2,3282.2 +/- 33.3
